DOI,Materials type,Materials Name,Electrolyte,Voltage (V),Specific surface area (m2/g),Pore volume (cm3/g),IDIG,N-doped (at%),O-doped (at%),E-type,Current density (A/g),Capacitance (F/g)
10.1016/j.cej.2021.128573,porous carbon network,HPC-S1,EMIMBF4,3.5,1526,0.24,1.05,0.87,6.4,2,10,150
10.1016/j.cej.2021.128573,porous carbon network,HPC-S2,EMIMBF4,3.5,2705,0.32,1.09,0.62,8.75,2,10,60
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT4.5,EMIMBF4,3.5,2710,0.3,1.07,0.98,7.81,2,10,86
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT9,EMIMBF4,3.5,2807,0.36,1.15,0.87,5.99,2,10,167
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT13.5,EMIMBF4,3.5,3168,0.32,1.06,0.93,8.46,2,10,84
10.1016/j.cej.2021.128573,porous carbon network,HPC-S1,EMIMBF4,3.5,1526,0.24,1.05,0.87,6.4,2,15,130
10.1016/j.cej.2021.128573,porous carbon network,HPC-S2,EMIMBF4,3.5,2705,0.32,1.09,0.62,8.75,2,15,41
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT4.5,EMIMBF4,3.5,2710,0.3,1.07,0.98,7.81,2,15,66
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT9,EMIMBF4,3.5,2807,0.36,1.15,0.87,5.99,2,15,153
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT13.5,EMIMBF4,3.5,3168,0.32,1.06,0.93,8.46,2,15,66
10.1016/j.cej.2021.128573,porous carbon network,HPC-S1,EMIMBF4,3.5,1526,0.24,1.05,0.87,6.4,2,20,120
10.1016/j.cej.2021.128573,porous carbon network,HPC-S2,EMIMBF4,3.5,2705,0.32,1.09,0.62,8.75,2,20,33
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT4.5,EMIMBF4,3.5,2710,0.3,1.07,0.98,7.81,2,20,52
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT9,EMIMBF4,3.5,2807,0.36,1.15,0.87,5.99,2,20,150
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT13.5,EMIMBF4,3.5,3168,0.32,1.06,0.93,8.46,2,20,51
10.1016/j.cej.2021.128573,porous carbon network,HPC-S1,EMIMBF4,3.5,1526,0.24,1.05,0.87,6.4,2,25,105
10.1016/j.cej.2021.128573,porous carbon network,HPC-S2,EMIMBF4,3.5,2705,0.32,1.09,0.62,8.75,2,25,17
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT4.5,EMIMBF4,3.5,2710,0.3,1.07,0.98,7.81,2,25,40
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT9,EMIMBF4,3.5,2807,0.36,1.15,0.87,5.99,2,25,132
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT13.5,EMIMBF4,3.5,3168,0.32,1.06,0.93,8.46,2,25,40
10.1016/j.cej.2021.128573,porous carbon network,HPC-S1,EMIMBF4,3.5,1526,0.24,1.05,0.87,6.4,2,30,91
10.1016/j.cej.2021.128573,porous carbon network,HPC-S2,EMIMBF4,3.5,2705,0.32,1.09,0.62,8.75,2,30,14
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT4.5,EMIMBF4,3.5,2710,0.3,1.07,0.98,7.81,2,30,34
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT9,EMIMBF4,3.5,2807,0.36,1.15,0.87,5.99,2,30,127
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT13.5,EMIMBF4,3.5,3168,0.32,1.06,0.93,8.46,2,30,30
10.1016/j.cej.2021.128573,porous carbon network,HPC-S1,EMIMBF4,3.5,1526,0.24,1.05,0.87,6.4,2,50,73
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT9,EMIMBF4,3.5,2807,0.36,1.15,0.87,5.99,2,50,113
10.1016/j.carbon.2018.09.009,,HA-2-0,EMITFSI,3.5,1976,1.21,0.92,1,13.9,2,1,63
10.1016/j.carbon.2018.09.009,,NHA-2-0.5,EMITFSI,3.5,2791,2.37,1.01,2.1,13.1,2,1,160
10.1016/j.carbon.2018.09.009,,NHA-2-1,KOH,1,3142,2.6,1.03,5,12.8,3,0.05,420
10.1016/j.carbon.2018.09.009,,NHA-2-1,KOH,1,3142,2.6,1.03,5,12.8,3,0.25,353
10.1016/j.carbon.2018.09.009,,NHA-2-1,KOH,1,3142,2.6,1.03,5,12.8,3,0.5,328.5
10.1016/j.carbon.2018.09.009,,NHA-2-1,KOH,1,3142,2.6,1.03,5,12.8,3,1,320
10.1016/j.carbon.2018.09.009,,NHA-2-1,KOH,1,3142,2.6,1.03,5,12.8,3,2,305
10.1016/j.carbon.2018.09.009,,NHA-2-1,KOH,1,3142,2.6,1.03,5,12.8,3,4,283
10.1016/j.carbon.2018.09.009,,NHA-2-1,KOH,1,3142,2.6,1.03,5,12.8,3,10,254
10.1016/j.carbon.2018.09.009,,NHA-2-1,KOH,1,3142,2.6,1.03,5,12.8,3,20,241
10.1016/j.carbon.2018.09.009,,NHA-2-1,EMITFSI,3.5,3142,2.6,1.03,5,12.8,2,0.05,210
10.1016/j.carbon.2018.09.009,,NHA-2-1,EMITFSI,3.5,3142,2.6,1.03,5,12.8,2,0.1,183
10.1016/j.carbon.2018.09.009,,NHA-2-1,EMITFSI,3.5,3142,2.6,1.03,5,12.8,2,0.5,173
10.1016/j.carbon.2018.09.009,,NHA-2-1,EMITFSI,3.5,3142,2.6,1.03,5,12.8,2,1,171
10.1016/j.carbon.2018.09.009,,NHA-2-1,EMITFSI,3.5,3142,2.6,1.03,5,12.8,2,2,167
10.1016/j.carbon.2018.09.009,,NHA-2-1,EMITFSI,3.5,3142,2.6,1.03,5,12.8,2,4,166
10.1016/j.carbon.2018.09.009,,NHA-2-1,EMITFSI,3.5,3142,2.6,1.03,5,12.8,2,8,156
10.1016/j.carbon.2018.09.009,,NHA-2-1,EMITFSI,3.5,3142,2.6,1.03,5,12.8,2,10,153
10.1016/j.carbon.2018.09.009,,NHA-2-1,EMITFSI,3.5,3142,2.6,1.03,5,12.8,2,20,148
10.1016/j.carbon.2018.09.009,,NHA-2-1.5,EMITFSI,3.5,1958,1.6,1.05,6.1,12.5,2,1,117
10.1007/s10800-015-0850-z,porous carbon,,KOH,1,1456,1.35,1.02,0,0,3,0.7,245
10.1007/s10800-015-0850-z,porous carbon,,KOH,1,1456,1.35,1.02,0,0,3,1.5,221
10.1007/s10800-015-0850-z,porous carbon,,KOH,1,1456,1.35,1.02,0,0,3,3,198
10.1007/s10800-015-0850-z,porous carbon,,KOH,1,1456,1.35,1.02,0,0,3,5,188
10.1007/s10800-015-0850-z,porous carbon,,KOH,1,1456,1.35,1.02,0,0,3,7,179
10.1007/s10800-015-0850-z,porous carbon,,KOH,1,1456,1.35,1.02,0,0,3,10,173
10.1007/s10800-015-0840-1,CDC,TiC-CDC-600,KOH,1,1489,0.646,2.37,0,0,3,1,191
10.1007/s10800-015-0840-1,CDC,TiC-CDC-1000,KOH,1,1684,1.162,1.46,0,0,3,1,140
10.1007/s10008-013-2025-3,porous carbon,,H2SO4,1,1180,1.56,0.9,0,0,2,0.1,241
10.1007/s10008-013-2025-3,porous carbon,,H2SO4,1,1180,1.56,0.9,0,0,2,0.5,220
10.1007/s10008-013-2025-3,porous carbon,,H2SO4,1,1180,1.56,0.9,0,0,2,1,210
10.1007/s10008-013-2025-3,porous carbon,,H2SO4,1,1180,1.56,0.9,0,0,2,3,195
10.1007/s10008-013-2025-3,porous carbon,,H2SO4,1,1180,1.56,0.9,0,0,2,5,189
10.1007/s10008-013-2025-3,porous carbon,,H2SO4,1,1180,1.56,0.9,0,0,2,10,180
10.1002/smll.201700834,N-doped carbon nanobelt,N-O-CNBs,KOH,1,446.3,0.283,1.04,8,6.4,3,0.2,385
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB8,KOH,1,392.9,0.253,1.1,16.8,2.3,3,0.2,476
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB7,KOH,1,358.6,0.246,1.1,15.9,1.6,3,0.2,449
10.1002/smll.201700834,N-doped carbon nanobelt,N-O-CNBs,KOH,1,446.3,0.283,1.04,8,6.4,3,0.5,365
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB7,KOH,1,358.6,0.246,1.1,15.9,1.6,3,0.5,422.4
10.1002/smll.201700834,N-doped carbon nanobelt,N-O-CNBs,KOH,1,446.3,0.283,1.04,8,6.4,3,1,315
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB8,KOH,1,392.9,0.253,1.1,16.8,2.3,3,1,444.3
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB7,KOH,1,358.6,0.246,1.1,15.9,1.6,3,1,403.8
10.1002/smll.201700834,N-doped carbon nanobelt,N-O-CNBs,KOH,1,446.3,0.283,1.04,8,6.4,3,3,282.6
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB8,KOH,1,392.9,0.253,1.1,16.8,2.3,3,3,418.5
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB7,KOH,1,358.6,0.246,1.1,15.9,1.6,3,3,380.5
10.1002/smll.201700834,N-doped carbon nanobelt,N-O-CNBs,KOH,1,446.3,0.283,1.04,8,6.4,3,5,273.9
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB8,KOH,1,392.9,0.253,1.1,16.8,2.3,3,5,404.1
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB7,KOH,1,358.6,0.246,1.1,15.9,1.6,3,5,366.1
10.1002/smll.201700834,N-doped carbon nanobelt,N-O-CNBs,KOH,1,446.3,0.283,1.04,8,6.4,3,10,254
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB8,KOH,1,392.9,0.253,1.1,16.8,2.3,3,10,376
10.1002/smll.201700834,N-doped carbon nanobelt,N-CNB7,KOH,1,358.6,0.246,1.1,15.9,1.6,3,10,332
10.1002/smll.200500327,MWCNT,,TEABF4,3.5,20,0.11,1.02,0,0,2,0.001,35
10.1002/smll.200500327,MWCNT,,TEABF4,3.5,247,0.37,0.83,0,0,2,0.001,40
10.1002/cjoc.201600320,porous carbon,PC-1,KOH,0.9,1128.7,0.58,0.85,0.89,9.25,2,0.1,198.2
10.1002/cjoc.201600320,porous carbon,PC-2,KOH,0.9,1358.2,0.74,0.87,0.08,8.11,2,0.1,217.2
10.1002/cjoc.201600320,porous carbon,PC-3,KOH,0.9,1829.7,1.05,0.84,0.37,6.34,2,0.1,238.2
10.1002/cjoc.201600320,porous carbon,PC-1,KOH,0.9,1128.7,0.58,0.85,0.89,9.25,2,1,169
10.1002/cjoc.201600320,porous carbon,PC-2,KOH,0.9,1358.2,0.74,0.87,0.08,8.11,2,1,192.6
10.1002/cjoc.201600320,porous carbon,PC-3,KOH,0.9,1829.7,1.05,0.84,0.37,6.34,2,1,203.4
10.1002/cjoc.201600320,porous carbon,PC-1,KOH,0.9,1128.7,0.58,0.85,0.89,9.25,2,2,162.5
10.1002/cjoc.201600320,porous carbon,PC-2,KOH,0.9,1358.2,0.74,0.87,0.08,8.11,2,2,186.1
10.1002/cjoc.201600320,porous carbon,PC-3,KOH,0.9,1829.7,1.05,0.84,0.37,6.34,2,2,193.7
10.1002/cjoc.201600320,porous carbon,PC-1,KOH,0.9,1128.7,0.58,0.85,0.89,9.25,2,5,150.8
10.1002/cjoc.201600320,porous carbon,PC-2,KOH,0.9,1358.2,0.74,0.87,0.08,8.11,2,5,172.5
10.1002/cjoc.201600320,porous carbon,PC-3,KOH,0.9,1829.7,1.05,0.84,0.37,6.34,2,5,178.1
10.1002/cjoc.201600320,porous carbon,PC-1,KOH,0.9,1128.7,0.58,0.85,0.89,9.25,2,10,139.6
10.1002/cjoc.201600320,porous carbon,PC-2,KOH,0.9,1358.2,0.74,0.87,0.08,8.11,2,10,154.5
10.1002/cjoc.201600320,porous carbon,PC-3,KOH,0.9,1829.7,1.05,0.84,0.37,6.34,2,10,160.7
10.1002/cjoc.201600320,porous carbon,PC-1,KOH,0.9,1128.7,0.58,0.85,0.89,9.25,2,15,124.4
10.1002/cjoc.201600320,porous carbon,PC-2,KOH,0.9,1358.2,0.74,0.87,0.08,8.11,2,15,138.5
10.1002/cjoc.201600320,porous carbon,PC-3,KOH,0.9,1829.7,1.05,0.84,0.37,6.34,2,15,144.7
10.1002/cjoc.201600320,porous carbon,PC-1,KOH,0.9,1128.7,0.58,0.85,0.89,9.25,2,20,110.8
10.1002/cjoc.201600320,porous carbon,PC-2,KOH,0.9,1358.2,0.74,0.87,0.08,8.11,2,20,123.2
10.1002/cjoc.201600320,porous carbon,PC-3,KOH,0.9,1829.7,1.05,0.84,0.37,6.34,2,20,130.8
10.1002/chem.201702544,porous carbon,A-PCS,KOH,1,1417,1.56,1.01,1.99,10.13,3,1,190
10.1002/chem.201702544,porous carbon,A-PCT,KOH,1,1325,0.884,1.02,1.17,8.1,3,1,159
10.1002/chem.201702544,porous carbon,A-PCS/PCT,KOH,1,1684,1.57,1.008,1.15,4.43,3,1,224
10.1002/chem.201702544,porous carbon,A-PCS,KOH,1,1417,1.56,1.01,1.99,10.13,3,2,181
10.1002/chem.201702544,porous carbon,A-PCT,KOH,1,1325,0.884,1.02,1.17,8.1,3,2,152
10.1002/chem.201702544,porous carbon,A-PCS/PCT,KOH,1,1684,1.57,1.008,1.15,4.43,3,2,215
10.1002/chem.201702544,porous carbon,A-PCS,KOH,1,1417,1.56,1.01,1.99,10.13,3,4,175
10.1002/chem.201702544,porous carbon,A-PCT,KOH,1,1325,0.884,1.02,1.17,8.1,3,4,147
10.1002/chem.201702544,porous carbon,A-PCS/PCT,KOH,1,1684,1.57,1.008,1.15,4.43,3,4,210
10.1002/chem.201702544,porous carbon,A-PCS,KOH,1,1417,1.56,1.01,1.99,10.13,3,6,172
10.1002/chem.201702544,porous carbon,A-PCT,KOH,1,1325,0.884,1.02,1.17,8.1,3,6,145
10.1002/chem.201702544,porous carbon,A-PCS/PCT,KOH,1,1684,1.57,1.008,1.15,4.43,3,6,207
10.1002/chem.201702544,porous carbon,A-PCS,KOH,1,1417,1.56,1.01,1.99,10.13,3,8,169
10.1002/chem.201702544,porous carbon,A-PCT,KOH,1,1325,0.884,1.02,1.17,8.1,3,8,142
10.1002/chem.201702544,porous carbon,A-PCS/PCT,KOH,1,1684,1.57,1.008,1.15,4.43,3,8,207
10.1002/chem.201702544,porous carbon,A-PCS,KOH,1,1417,1.56,1.01,1.99,10.13,3,10,169
10.1002/chem.201702544,porous carbon,A-PCT,KOH,1,1325,0.884,1.02,1.17,8.1,3,10,139
10.1002/chem.201702544,porous carbon,A-PCS/PCT,KOH,1,1684,1.57,1.008,1.15,4.43,3,10,208
10.1002/chem.201702544,porous carbon,A-PCS,KOH,1,1417,1.56,1.01,1.99,10.13,3,15,165
10.1002/chem.201702544,porous carbon,A-PCT,KOH,1,1325,0.884,1.02,1.17,8.1,3,15,137
10.1002/chem.201702544,porous carbon,A-PCS/PCT,KOH,1,1684,1.57,1.008,1.15,4.43,3,15,206
10.1002/chem.201702544,porous carbon,A-PCS,KOH,1,1417,1.56,1.01,1.99,10.13,3,20,161
10.1002/chem.201702544,porous carbon,A-PCT,KOH,1,1325,0.884,1.02,1.17,8.1,3,20,135
10.1002/chem.201702544,porous carbon,A-PCS/PCT,KOH,1,1684,1.57,1.008,1.15,4.43,3,20,206
10.1002/chem.201602922,N-doped porous carbon,AC-7,KOH,1,1415,1.4,0.88,3.47,12.7,3,0.5,289
10.1002/chem.201602922,N-doped porous carbon,ACS-5,KOH,1,170,0.2,0.8,5.89,8.63,3,0.5,96
10.1002/chem.201602922,N-doped porous carbon,ACS-6,KOH,1,306,0.31,0.76,5.89,8.63,3,0.5,137
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,3,0.5,243
10.1002/chem.201602922,N-doped porous carbon,AC-7,KOH,1,1415,1.4,0.88,3.47,12.7,3,20,170
10.1002/chem.201602922,N-doped porous carbon,ACS-5,KOH,1,170,0.2,0.8,5.89,8.63,3,20,40
10.1002/chem.201602922,N-doped porous carbon,ACS-6,KOH,1,306,0.31,0.76,5.89,8.63,3,20,90
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,3,20,179
10.1002/chem.201602922,N-doped porous carbon,AC-7,KOH,1,1415,1.4,0.88,3.47,12.7,3,1,250
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,3,1,214
10.1002/chem.201602922,N-doped porous carbon,AC-7,KOH,1,1415,1.4,0.88,3.47,12.7,3,2,231
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,3,2,202
10.1002/chem.201602922,N-doped porous carbon,AC-7,KOH,1,1415,1.4,0.88,3.47,12.7,3,4,219
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,3,4,192
10.1002/chem.201602922,N-doped porous carbon,AC-7,KOH,1,1415,1.4,0.88,3.47,12.7,3,6,212
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,3,6,188
10.1002/chem.201602922,N-doped porous carbon,AC-7,KOH,1,1415,1.4,0.88,3.47,12.7,3,8,207
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,3,8,185
10.1002/chem.201602922,N-doped porous carbon,AC-7,KOH,1,1415,1.4,0.88,3.47,12.7,3,10,201
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,3,10,184
10.1002/chem.201602922,N-doped porous carbon,AC-7,KOH,1,1415,1.4,0.88,3.47,12.7,3,30,149
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,3,30,171
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,2,0.5,158
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,2,1,143.7
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,2,2,133.3
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,2,4,128.5
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,2,6,126
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,2,8,124
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,2,10,122
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,2,20,115
10.1002/chem.201602922,N-doped porous carbon,ACS-7,KOH,1,654,0.49,0.67,5.89,8.63,2,30,107.5
10.1002/chem.201402897,3D carbon,RGO,EMIMBF4,3,178,2.86,1.69,0,0,2,0.1,58
10.1002/chem.201402897,3D carbon,RDC,EMIMBF4,3,1288,0.82,1.69,0,0,2,0.1,100
10.1002/chem.201402897,3D carbon,GRDC,EMIMBF4,3,2034,1.78,1.93,0,0,2,0.1,151.7
10.1002/chem.201402897,3D carbon,RGO,EMIMBF4,3,178,2.86,1.69,0,0,2,0.2,45.2
10.1002/chem.201402897,3D carbon,RDC,EMIMBF4,3,1288,0.82,1.69,0,0,2,0.2,76.1
10.1002/chem.201402897,3D carbon,GRDC,EMIMBF4,3,2034,1.78,1.93,0,0,2,0.2,136.3
10.1002/chem.201402897,3D carbon,RGO,EMIMBF4,3,178,2.86,1.69,0,0,2,0.3,34.6
10.1002/chem.201402897,3D carbon,RDC,EMIMBF4,3,1288,0.82,1.69,0,0,2,0.3,59.4
10.1002/chem.201402897,3D carbon,GRDC,EMIMBF4,3,2034,1.78,1.93,0,0,2,0.3,119.9
10.1002/chem.201402897,3D carbon,RGO,EMIMBF4,3,178,2.86,1.69,0,0,2,0.4,25.8
10.1002/chem.201402897,3D carbon,RDC,EMIMBF4,3,1288,0.82,1.69,0,0,2,0.4,40.9
10.1002/chem.201402897,3D carbon,GRDC,EMIMBF4,3,2034,1.78,1.93,0,0,2,0.4,103.1
10.1002/chem.201402897,3D carbon,RGO,EMIMBF4,3,178,2.86,1.69,0,0,2,0.5,17.5
10.1002/chem.201402897,3D carbon,RDC,EMIMBF4,3,1288,0.82,1.69,0,0,2,0.5,25.1
10.1002/chem.201402897,3D carbon,GRDC,EMIMBF4,3,2034,1.78,1.93,0,0,2,0.5,87.3
